ProductKey;ProductAlternateKey;ProductSubcategoryName;ProductName;ProductCategoryName;Color;SizeRange;Description;Startday
289;FR-M94S-42;Mountain Frames;HL Mountain Frame - Silver, 42;Components;Silver;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2017/09/01
290;FR-M94S-42;Mountain Frames;HL Mountain Frame - Silver, 42;Components;Silver;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2018/04/01
291;FR-M94S-44;Mountain Frames;HL Mountain Frame - Silver, 44;Components;Silver;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2016/01/01
292;FR-M94S-52;Mountain Frames;HL Mountain Frame - Silver, 48;Components;Silver;48-52 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2016/02/01
293;FR-M94S-46;Mountain Frames;HL Mountain Frame - Silver, 46;Components;Silver;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2016/03/01
294;FR-M94S-46;Mountain Frames;HL Mountain Frame - Silver, 46;Components;Silver;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2017/04/01
295;FR-M94S-46;Mountain Frames;HL Mountain Frame - Silver, 46;Components;Silver;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2018/05/01
296;FR-M94B-42;Mountain Frames;HL Mountain Frame - Black, 42;Components;Black;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2016/06/01
297;FR-M94B-42;Mountain Frames;HL Mountain Frame - Black, 42;Components;Black;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2017/07/01
298;FR-M94B-42;Mountain Frames;HL Mountain Frame - Black, 42;Components;Black;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2018/08/01
299;FR-M94B-44;Mountain Frames;HL Mountain Frame - Black, 44;Components;Black;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2016/09/01
300;FR-M94B-48;Mountain Frames;HL Mountain Frame - Black, 48;Components;Black;48-52 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2016/04/01
301;FR-M94B-46;Mountain Frames;HL Mountain Frame - Black, 46;Components;Black;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2016/01/01
302;FR-M94B-46;Mountain Frames;HL Mountain Frame - Black, 46;Components;Black;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2017/02/01
303;FR-M94B-46;Mountain Frames;HL Mountain Frame - Black, 46;Components;Black;42-46 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2018/03/01
304;FR-M94B-38;Mountain Frames;HL Mountain Frame - Black, 38;Components;Black;38-40 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2016/04/01
305;FR-M94B-38;Mountain Frames;HL Mountain Frame - Black, 38;Components;Black;38-40 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2017/05/01
306;FR-M94B-38;Mountain Frames;HL Mountain Frame - Black, 38;Components;Black;38-40 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2018/06/01
307;FR-M94S-38;Mountain Frames;HL Mountain Frame - Silver, 38;Components;Silver;38-40 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2016/07/01
308;FR-M94S-38;Mountain Frames;HL Mountain Frame - Silver, 38;Components;Silver;38-40 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2017/08/01
309;FR-M94S-38;Mountain Frames;HL Mountain Frame - Silver, 38;Components;Silver;38-40 CM;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;2018/09/01
310;BK-R93R-62;Road Bikes;Road-150 Red, 62;Bikes;Red;60-62 CM;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;2016/04/01
311;BK-R93R-44;Road Bikes;Road-150 Red, 44;Bikes;Red;42-46 CM;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;2016/01/01
312;BK-R93R-48;Road Bikes;Road-150 Red, 48;Bikes;Red;48-52 CM;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;2016/02/01
313;BK-R93R-52;Road Bikes;Road-150 Red, 52;Bikes;Red;48-52 CM;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;2016/03/01
314;BK-R93R-56;Road Bikes;Road-150 Red, 56;Bikes;Red;54-58 CM;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;2016/04/01
315;BK-R68R-58;Road Bikes;Road-450 Red, 58;Bikes;Red;54-58 CM;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;2016/05/01
316;BK-R68R-60;Road Bikes;Road-450 Red, 60;Bikes;Red;60-62 CM;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;2016/06/01
317;BK-R68R-44;Road Bikes;Road-450 Red, 44;Bikes;Red;42-46 CM;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;2016/07/01
318;BK-R68R-48;Road Bikes;Road-450 Red, 48;Bikes;Red;48-52 CM;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;2016/08/01
319;BK-R68R-52;Road Bikes;Road-450 Red, 52;Bikes;Red;48-52 CM;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;2016/09/01
320;BK-R50R-58;Road Bikes;Road-650 Red, 58;Bikes;Red;54-58 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2016/04/01
321;BK-R50R-58;Road Bikes;Road-650 Red, 58;Bikes;Red;54-58 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2017/01/01
322;BK-R50R-60;Road Bikes;Road-650 Red, 60;Bikes;Red;60-62 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2016/02/01
323;BK-R50R-60;Road Bikes;Road-650 Red, 60;Bikes;Red;60-62 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2017/03/01
324;BK-R50R-62;Road Bikes;Road-650 Red, 62;Bikes;Red;60-62 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2016/04/01
325;BK-R50R-62;Road Bikes;Road-650 Red, 62;Bikes;Red;60-62 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2017/05/01
326;BK-R50R-44;Road Bikes;Road-650 Red, 44;Bikes;Red;42-46 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2016/06/01
327;BK-R50R-44;Road Bikes;Road-650 Red, 44;Bikes;Red;42-46 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2017/07/01
328;BK-R50R-48;Road Bikes;Road-650 Red, 48;Bikes;Red;48-52 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2016/08/01
329;BK-R50R-48;Road Bikes;Road-650 Red, 48;Bikes;Red;48-52 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2017/09/01
330;BK-R50R-52;Road Bikes;Road-650 Red, 52;Bikes;Red;48-52 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2016/04/01
331;BK-R50R-52;Road Bikes;Road-650 Red, 52;Bikes;Red;48-52 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2017/01/01
332;BK-R50B-58;Road Bikes;Road-650 Black, 58;Bikes;Black;54-58 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2016/02/01
333;BK-R50B-58;Road Bikes;Road-650 Black, 58;Bikes;Black;54-58 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2017/03/01
334;BK-R50B-60;Road Bikes;Road-650 Black, 60;Bikes;Black;60-62 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2016/04/01
335;BK-R50B-60;Road Bikes;Road-650 Black, 60;Bikes;Black;60-62 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2017/05/01
336;BK-R50B-62;Road Bikes;Road-650 Black, 62;Bikes;Black;60-62 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2016/06/01
337;BK-R50B-62;Road Bikes;Road-650 Black, 62;Bikes;Black;60-62 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2017/07/01
338;BK-R50B-44;Road Bikes;Road-650 Black, 44;Bikes;Black;42-46 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2016/08/01
339;BK-R50B-44;Road Bikes;Road-650 Black, 44;Bikes;Black;42-46 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2017/09/01
340;BK-R50B-48;Road Bikes;Road-650 Black, 48;Bikes;Black;48-52 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2016/04/01
341;BK-R50B-48;Road Bikes;Road-650 Black, 48;Bikes;Black;48-52 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2017/01/01
342;BK-R50B-52;Road Bikes;Road-650 Black, 52;Bikes;Black;48-52 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2016/02/01
343;BK-R50B-52;Road Bikes;Road-650 Black, 52;Bikes;Black;48-52 CM;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;2017/03/01
344;BK-M82S-38;Mountain Bikes;Mountain-100 Silver, 38;Bikes;Silver;38-40 CM;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;2016/04/01
345;BK-M82S-42;Mountain Bikes;Mountain-100 Silver, 42;Bikes;Silver;42-46 CM;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;2016/05/01
